metric,mean,std
ACC,0.9998604630873305,6.976845732955492e-05
AUC,0.9999191432667386,0.0001189688779155985
TP,0.999734395750332,NA
TN,1.0,NA
FP,0.0,NA
FN,0.0002656042496679947,NA
