metric,mean,std
ACC,0.7111210463096456,0.003005118508910726
AUC,0.7021715261811929,0.0028004276474682477
TP,0.19176372712146422,NA
TN,0.9402521640948438,NA
FP,0.05974783590515619,NA
FN,0.8082362728785357,NA
