metric,mean,std
ACC,0.6079015600966822,0.013837199003873943
AUC,0.5847097780485427,0.01039712191332457
TP,0.2681564245810056,NA
TN,0.810641627543036,NA
FP,0.18935837245696402,NA
FN,0.7318435754189944,NA
