metric,mean,std
ACC,0.6985277410759496,0.003892546492396174
AUC,0.6761768024669312,0.006298477389272236
TP,0.15622389306599832,NA
TN,0.9532306536438768,NA
FP,0.04676934635612322,NA
FN,0.8437761069340016,NA
