metric,mean,std
ACC,0.7041791411814831,0.0035631573235204625
AUC,0.689309179838424,0.008023569670564805
TP,0.23059071729957806,NA
TN,0.9283844427823486,NA
FP,0.07161555721765146,NA
FN,0.769409282700422,NA
