metric,mean,std
ACC,0.7137372888930018,0.004179573597241646
AUC,0.7051276901330791,0.0018589096582569394
TP,0.26869977333608075,NA
TN,0.9071151847302277,NA
FP,0.09288481526977227,NA
FN,0.7313002266639193,NA
