metric,mean,std
ACC,0.5647458088885167,0.003453654213422349
AUC,0.5879413590922679,0.003935467790965409
TP,0.5381894405869252,NA
TN,0.5945149301550685,NA
FP,0.40548506984493143,NA
FN,0.4618105594130748,NA
